Disc_ID,User_ID,Created At time,Created At Year,Created At Month,Created At Day_of_month
ID_ONQEAR,ID_CEDNKSVV,16:18:44.841697,1,5,11
ID_E0NHSS,ID_CEDNKSVV,17:30:40.566763,1,12,23
ID_3XKIOF,ID_CEDNKSVV,13:28:47.950841,1,1,3
ID_XCC6W4,ID_CEDNKSVV,18:42:17.362333,1,1,5
ID_OIGXGK,ID_CEDNKSVV,18:57:54.540062,1,12,19
ID_OIGXGK,ID_CEDNKSVV,00:30:14.803404,1,12,20
ID_AZGU5X,ID_Q0AI5FV5,18:35:33.234257,1,5,19
ID_AZGU5X,ID_SSE2SXWF,19:06:34.418505,1,5,19
ID_EDSIFD,ID_SSE2SXWF,19:06:34.555138,1,5,19
ID_AZGU5X,ID_0RJ4YV3T,21:08:39.318181,1,5,19
ID_AXOSKY,ID_SZY7UVP1,01:18:53.960347,1,2,18
ID_1LCBM5,ID_ECRC1HNG,17:58:36.218654,1,5,22
ID_A4R9P4,ID_KAEOWOIU,10:27:12.277935,1,5,26
ID_A4R9P4,ID_BGDI18Y9,10:36:28.611492,1,5,26
ID_LBF8N2,ID_PG64ZY18,14:42:31.071509,1,2,13
ID_LBF8N2,ID_PG64ZY18,14:49:44.323067,1,2,13
ID_5WVAGS,ID_E7SKL6R4,12:00:22.565241,1,2,16
ID_JHOXXC,ID_ZUYKQ8J0,19:35:28.808367,1,5,19
ID_JHOXXC,ID_ZUYKQ8J0,20:15:14.135013,1,5,19
ID_JHOXXC,ID_ZD20NJFA,19:38:54.620654,1,5,19
ID_JHOXXC,ID_WLSYFWFE,20:23:48.220988,1,5,19
ID_WMNY23,ID_I4BH68MU,18:12:25.588963,1,5,22
ID_E4R0I5,ID_EUVUFI8H,13:12:49.569630,1,1,21
ID_E4R0I5,ID_LAX472KM,04:42:03.488527,1,12,29
ID_E4R0I5,ID_JNZQMMX0,05:36:20.487510,1,12,29
ID_183IIQ,ID_JNZQMMX0,06:06:14.246596,1,1,14
ID_E4R0I5,ID_H0IR2B9W,05:48:31.115386,1,12,29
ID_E4R0I5,ID_YKNL8WNI,07:50:27.078445,1,12,29
ID_E4R0I5,ID_ZHR6NCSJ,09:40:33.348763,1,12,29
ID_EY2BJG,ID_FU9487VT,15:55:00.421045,1,2,20
ID_441BAB,ID_EF5JPUZW,01:44:29.372020,1,2,22
ID_441BAB,ID_PCOK6YYS,14:30:14.400097,1,12,23
ID_E0NHSS,ID_PCOK6YYS,20:22:34.966462,1,12,23
ID_OIGXGK,ID_PCOK6YYS,21:20:57.950106,1,12,19
ID_441BAB,ID_UCH8W041,20:11:35.587692,1,12,23
ID_E0NHSS,ID_UCH8W041,20:36:54.198957,1,12,28
ID_441BAB,ID_JLAA97OM,21:08:35.697858,1,12,23
ID_E0NHSS,ID_JLAA97OM,21:09:10.643299,1,12,23
ID_441BAB,ID_A8HP1ANN,19:21:21.945538,1,1,11
ID_OIGXGK,ID_A8HP1ANN,19:21:45.723878,1,1,11
ID_441BAB,ID_GUHCJ3WZ,17:26:51.947901,1,1,21
ID_E0NHSS,ID_GUHCJ3WZ,17:24:42.684900,1,1,21
ID_441BAB,ID_2BKRRSKW,12:00:18.833744,1,12,29
ID_E0NHSS,ID_2BKRRSKW,12:00:08.387314,1,12,29
ID_10B2CG,ID_PQG4U6Z9,07:05:39.609226,1,2,12
ID_2WS956,ID_PQG4U6Z9,12:35:35.821598,1,1,11
ID_VMAW54,ID_PQG4U6Z9,12:41:06.964410,1,1,11
ID_J2D0N2,ID_PQG4U6Z9,22:57:57.998142,1,1,19
ID_RAFDGN,ID_PQG4U6Z9,12:03:49.793666,1,1,11
ID_LC5LJX,ID_PQG4U6Z9,12:03:16.533074,1,1,11
ID_LC5LJX,ID_PQG4U6Z9,12:01:12.258256,1,1,11
ID_4PVVT3,ID_PQG4U6Z9,17:04:42.161055,1,1,11
ID_183IIQ,ID_PQG4U6Z9,23:00:36.593509,1,1,19
ID_FCVEOR,ID_PQG4U6Z9,23:07:16.300729,1,1,19
ID_9OM3J1,ID_HA5GD0UH,02:43:08.664638,1,2,22
ID_9OM3J1,ID_3GVBNS1Y,05:51:07.528371,1,2,15
ID_KWJRBL,ID_VHKMHN5V,08:31:31.027846,1,2,24
ID_85N7JD,ID_2OK0YBNF,10:16:07.721902,1,1,23
ID_A1S4P3,ID_2OK0YBNF,14:33:45.392101,1,1,25
ID_85N7JD,ID_YKMUQUT0,17:12:17.026672,1,12,16
ID_85N7JD,ID_G23UREIF,20:01:15.324733,1,12,16
ID_GUZ7T8,ID_MW1RUXWJ,22:10:53.346653,1,12,31
ID_GUZ7T8,ID_TQMLT2YD,10:00:15.948748,1,1,11
ID_GCOB3J,ID_TQMLT2YD,10:01:19.257639,1,1,11
ID_RAFDGN,ID_TQMLT2YD,10:02:28.088279,1,1,11
ID_GUZ7T8,ID_ZDAVDH08,10:37:04.475362,1,1,1
ID_GUZ7T8,ID_98KP92NY,10:44:59.922062,1,1,1
ID_AZ1OX9,ID_98KP92NY,10:50:42.816479,1,1,1
ID_AZ1OX9,ID_98KP92NY,13:05:39.826050,1,1,1
ID_AZ1OX9,ID_98KP92NY,13:03:29.318252,1,1,1
ID_18EL2H,ID_98KP92NY,10:33:57.026183,1,1,1
ID_18EL2H,ID_98KP92NY,13:08:16.641999,1,1,1
ID_0H4NG2,ID_98KP92NY,10:44:00.954715,1,1,1
ID_GUZ7T8,ID_O2NYGOCI,12:29:53.193433,1,1,1
ID_GUZ7T8,ID_KBHUGA7D,15:14:50.953854,1,1,1
ID_2FV7GY,ID_KBHUGA7D,15:15:17.600235,1,1,1
ID_AZ1OX9,ID_KBHUGA7D,15:14:11.255739,1,1,1
ID_GUZ7T8,ID_UGSSHS8M,16:35:26.353665,1,1,24
ID_GWZR2P,ID_UGSSHS8M,16:43:12.207026,1,1,24
ID_2FV7GY,ID_UGSSHS8M,16:34:42.317368,1,1,24
ID_EY4LOW,ID_UGSSHS8M,16:37:33.365556,1,1,24
ID_JFPPYO,ID_UGSSHS8M,21:37:01.893815,1,1,24
ID_VIH0CB,ID_UGSSHS8M,16:33:29.398960,1,1,24
ID_VIH0CB,ID_UGSSHS8M,16:33:03.509498,1,1,24
ID_AZ1OX9,ID_UGSSHS8M,16:35:44.326495,1,1,24
ID_EXHMZ5,ID_UGSSHS8M,21:37:27.394494,1,1,24
ID_GUZ7T8,ID_GKRH4XL7,01:23:31.700113,1,1,6
ID_X5PLV5,ID_GKRH4XL7,01:21:10.121392,1,1,6
ID_8S1OVP,ID_GKRH4XL7,22:55:25.956483,1,1,24
ID_RAFDGN,ID_GKRH4XL7,01:47:28.982109,1,1,14
ID_GCOB3J,ID_L3SE5MXW,11:12:52.010276,1,1,7
ID_X5PLV5,ID_L3SE5MXW,12:25:24.258856,1,1,21
ID_RAFDGN,ID_L3SE5MXW,15:28:09.972588,1,1,13
ID_LC5LJX,ID_L3SE5MXW,14:43:33.323194,1,1,11
ID_GCOB3J,ID_HC4BEZD4,11:54:41.962152,1,1,7
ID_GWZR2P,ID_HC4BEZD4,18:08:35.234312,1,1,7
ID_EY4LOW,ID_HC4BEZD4,16:37:33.090172,1,1,3
ID_7OZ9Q4,ID_HC4BEZD4,07:03:10.991962,1,1,9
ID_7OZ9Q4,ID_HC4BEZD4,07:12:48.364815,1,1,9
ID_VMAW54,ID_HC4BEZD4,13:42:30.305110,1,1,7
ID_VMAW54,ID_HC4BEZD4,14:04:12.616747,1,1,7
ID_VMAW54,ID_HC4BEZD4,14:03:28.299566,1,1,7
ID_O52TU4,ID_HC4BEZD4,08:18:15.801995,1,1,9
ID_O52TU4,ID_HC4BEZD4,12:59:18.173805,1,1,9
ID_AZ1OX9,ID_HC4BEZD4,11:07:11.017713,1,1,1
ID_AZ1OX9,ID_HC4BEZD4,11:08:11.040784,1,1,1
ID_LC5LJX,ID_HC4BEZD4,11:06:52.068486,1,1,9
ID_HQOJBS,ID_HC4BEZD4,07:10:50.084484,1,1,23
ID_HQOJBS,ID_HC4BEZD4,11:04:39.055834,1,1,23
ID_HQOJBS,ID_HC4BEZD4,11:04:20.448348,1,1,23
ID_GCOB3J,ID_D96RNL1K,12:18:37.956139,1,1,7
ID_EY4LOW,ID_D96RNL1K,15:48:07.393508,1,1,3
ID_O52TU4,ID_D96RNL1K,17:06:59.774921,1,1,9
ID_AZ1OX9,ID_D96RNL1K,11:15:11.781084,1,1,1
ID_LC5LJX,ID_D96RNL1K,17:22:56.238171,1,1,9
ID_183IIQ,ID_D96RNL1K,09:13:45.259549,1,1,14
ID_GCOB3J,ID_PROILWVY,07:04:23.607974,1,1,9
ID_IRT1AX,ID_PROILWVY,05:31:23.850937,1,1,23
ID_2FV7GY,ID_PROILWVY,07:52:06.787861,1,1,9
ID_06XNM5,ID_PROILWVY,07:51:36.568373,1,1,9
ID_GCOB3J,ID_6FWB89V7,11:14:42.816791,1,1,15
ID_2WS956,ID_6FWB89V7,17:09:59.115587,1,1,9
ID_VMAW54,ID_6FWB89V7,11:16:09.657202,1,1,15
ID_O52TU4,ID_6FWB89V7,17:08:05.775181,1,1,9
ID_J2D0N2,ID_6FWB89V7,11:13:11.057528,1,1,15
ID_183IIQ,ID_6FWB89V7,07:27:12.931678,1,1,14
ID_183IIQ,ID_6FWB89V7,08:58:21.636178,1,1,14
ID_GCOB3J,ID_0SXRNUSA,12:09:22.893628,1,1,7
ID_GWZR2P,ID_0SXRNUSA,17:04:00.958430,1,1,7
ID_GWZR2P,ID_0SXRNUSA,16:25:27.462026,1,1,7
ID_X5PLV5,ID_0SXRNUSA,12:10:36.933708,1,1,7
ID_LC5LJX,ID_0SXRNUSA,19:58:10.994288,1,1,13
ID_GCOB3J,ID_50JC7HOA,12:39:17.520893,1,1,7
ID_GCOB3J,ID_45DGPFGT,12:41:30.130430,1,1,7
ID_GCOB3J,ID_NK7LCLLL,12:45:54.417655,1,1,7
ID_X5PLV5,ID_NK7LCLLL,12:46:11.553244,1,1,7
ID_EY4LOW,ID_NK7LCLLL,12:54:01.760928,1,1,7
ID_AZ1OX9,ID_NK7LCLLL,13:02:12.355355,1,1,7
ID_GCOB3J,ID_TROKANDP,12:13:12.816570,1,1,15
ID_GWZR2P,ID_TROKANDP,12:15:47.334444,1,1,15
ID_2WS956,ID_TROKANDP,12:17:51.135003,1,1,15
ID_LZETUI,ID_TROKANDP,12:17:16.674050,1,1,15
ID_VMAW54,ID_TROKANDP,12:14:31.608805,1,1,15
ID_O52TU4,ID_TROKANDP,12:20:22.833278,1,1,15
ID_J2D0N2,ID_TROKANDP,12:32:29.410077,1,1,15
ID_RAFDGN,ID_TROKANDP,12:31:57.219136,1,1,15
ID_LC5LJX,ID_TROKANDP,12:30:39.862158,1,1,15
ID_MNL3DD,ID_TROKANDP,12:07:09.171667,1,1,15
ID_UI3DQF,ID_TROKANDP,12:32:58.148485,1,1,15
ID_4PVVT3,ID_TROKANDP,12:32:13.521295,1,1,15
ID_WXIWC8,ID_TROKANDP,16:39:48.668399,1,1,21
ID_GCOB3J,ID_ZH2JCN29,13:15:40.387684,1,1,7
ID_EY4LOW,ID_ZH2JCN29,14:04:22.921991,1,1,3
ID_EY4LOW,ID_ZH2JCN29,14:05:38.457749,1,1,3
ID_AZ1OX9,ID_ZH2JCN29,13:24:21.276279,1,1,1
ID_GCOB3J,ID_G0CAVNIG,13:27:14.473284,1,1,7
ID_GCOB3J,ID_FJVEPK9I,08:44:32.030200,1,1,9
ID_2WS956,ID_FJVEPK9I,08:41:43.422770,1,1,9
ID_X5PLV5,ID_FJVEPK9I,08:45:11.724669,1,1,9
ID_LZETUI,ID_FJVEPK9I,08:42:36.079361,1,1,9
ID_VMAW54,ID_FJVEPK9I,08:43:46.508759,1,1,9
ID_GCOB3J,ID_OAT2Z0FH,15:17:58.828423,1,1,7
ID_X5PLV5,ID_OAT2Z0FH,15:21:21.441646,1,1,7
