FeatureA,FeatureB,FeatureC,FeatureD,FeatureE,SecretCode,FeatureF,FeatureG,FeatureH,FeatureI,Country_ID,Comp_ID,End Time time,End Time Year,End Time Month,End Time Day_of_month,Start Time time,Start Time Year,Start Time Month,Start Time Day_of_month
"[2, 4]",[14],15.0,0,2,1,[3],[],[],,G3F0,ID_AU0T,21:05:00,2.0,6.0,19.0,07:00:00,2,6,19
[1],[],3.0,0,3,1,[1],[],[1],3.0,0Q35,ID_O21T,15:30:00,2.0,2.0,15.0,12:00:00,2,2,1
[1],[9],2.0,0,2,1,"[1, 5]",[5],[1],2.0,EGI9,ID_W6XE,21:59:00,2.0,5.0,9.0,08:00:00,2,3,28
[],[],1.0,0,2,1,[1],[4],[],,,ID_A2FN,12:00:00,2.0,6.0,22.0,12:00:00,2,6,12
[],[6],,0,2,0,[],[4],[2],9.0,,ID_X0PD,23:59:00,2.0,5.0,31.0,09:00:00,2,5,27
[1],[],9.0,0,2,1,[1],[],[1],9.0,DYYF,ID_381F,16:30:00,2.0,10.0,7.0,08:30:00,2,10,6
"[5, 2]",[15],10.0,1,2,0,[3],[],[3],10.0,ZEWU,ID_WWVF,00:00:00,3.0,10.0,29.0,00:00:00,3,9,3
[],[],2.0,0,3,1,[1],[3],[],2.0,DYYF,ID_3MK3,09:30:00,1.0,1.0,24.0,09:30:00,1,1,23
[1],[6],21.0,0,2,0,[3],[3],[3],21.0,,ID_W9RN,23:59:00,2.0,5.0,3.0,12:00:00,2,5,1
[1],[],2.0,0,3,1,[1],[],[1],2.0,X9GR,ID_XEGI,22:59:00,2.0,1.0,11.0,16:00:00,2,12,23
[1],[9],2.0,0,2,1,[1],[],[1],2.0,,ID_RBCT,15:00:00,2.0,10.0,28.0,09:00:00,2,10,27
[1],[],25.0,0,2,1,[1],[],[1],25.0,0Q35,ID_BGIG,18:00:00,3.0,1.0,27.0,09:00:00,3,1,27
[1],[],2.0,0,3,1,[1],[],[1],2.0,,ID_70XX,14:00:00,3.0,3.0,26.0,06:00:00,3,1,19
[2],[],6.0,1,2,0,[9],[],[9],6.0,,ID_PA74,23:59:00,2.0,2.0,30.0,06:00:00,2,12,6
[],[],,0,2,0,[],[],[],,,ID_H4V5,08:00:00,2.0,2.0,2.0,08:00:00,2,1,30
[1],[],2.0,0,2,1,[1],[],[1],2.0,,ID_6QJX,14:30:00,2.0,1.0,23.0,05:00:00,2,1,21
[1],[],,0,2,1,[7],[3],[7],33.0,,ID_89DI,05:59:00,1.0,3.0,30.0,09:00:00,1,3,29
"[3, 2]",[14],7.0,0,3,1,[2],[],[2],7.0,,ID_S5ED,22:00:00,3.0,5.0,11.0,08:00:00,3,2,2
[1],[10],,0,2,0,[1],[],[1],,,ID_EUJS,23:59:00,2.0,1.0,6.0,11:59:00,2,1,4
[],[],,0,2,1,[],[],[],,DYYF,ID_Q02Q,13:45:00,2.0,2.0,14.0,08:00:00,2,2,14
