Competition ID,Participant Type,Successful Submission Count,User_ID,Created At time,Created At Year,Created At Month,Created At Day_of_month
ID_WPP3,1,,ID_40G01FGV,19:38:04.689865,1,11,20
ID_ZN92,1,,ID_40G01FGV,19:38:04.670583,1,11,20
ID_I9BN,1,,ID_40G01FGV,12:06:55.884320,1,12,17
ID_PDKH,1,count 10,ID_40G01FGV,11:24:04.239058,1,12,6
ID_CFN7,1,,ID_P33ABQX5,05:16:09.052129,1,5,26
ID_V0FX,1,,ID_370J8DHN,00:45:03.932331,1,3,14
ID_6E1C,1,,ID_370J8DHN,00:50:53.439401,1,3,14
ID_N5MO,1,,ID_532J0TG5,06:04:35.763923,1,3,9
ID_AL6C,1,,ID_8GZX6VSX,08:08:01.761131,1,2,9
ID_OP12,1,,ID_1MGGWRD2,22:48:48.117848,1,12,3
ID_BARV,1,,ID_JHGZPI0I,14:07:44.811306,1,4,26
ID_9TS1,1,,ID_K2GKEDR7,14:00:06.720535,1,3,29
ID_X2AS,1,,ID_K2GKEDR7,10:29:23.715450,1,3,29
ID_8BH9,1,,ID_P1WPJ4ZY,11:39:21.312529,1,5,23
ID_GVGW,1,,ID_0KQJ4SS1,10:26:44.639025,1,5,21
ID_JRC2,1,,ID_UZYH71RG,12:33:59.398600,1,1,10
ID_I9BN,1,,ID_UZYH71RG,14:26:17.248227,1,1,20
ID_F5JG,1,,ID_WYKZNTAI,21:28:46.781109,1,12,16
ID_FCRM,1,count 10,ID_WYKZNTAI,21:33:25.143134,1,12,16
ID_WZ0H,1,,ID_JGI9SU6R,00:43:51.683671,1,4,8
ID_1CTF,1,count 10,ID_QFGOTNAC,06:11:13.398868,1,4,28
ID_AL6C,1,,ID_LVKMU5J3,00:49:49.294332,1,3,16
ID_51ZG,1,,ID_LVKMU5J3,13:13:17.918605,1,3,8
ID_F7QD,1,,ID_LVKMU5J3,12:55:54.707160,1,3,8
ID_PJZC,1,,ID_LVKMU5J3,13:15:18.477039,1,3,8
ID_JRC2,1,,ID_LVKMU5J3,12:53:51.536020,1,3,8
ID_WOVD,1,,ID_LVKMU5J3,00:40:25.051586,1,3,11
ID_20XL,1,,ID_LVKMU5J3,13:11:00.167398,1,3,8
ID_J883,1,,ID_LVKMU5J3,00:34:57.825828,1,3,11
ID_BXIL,1,,ID_FN3VCPDF,16:18:28.845543,1,5,6
ID_WZ0H,1,,ID_FN3VCPDF,10:33:15.703399,1,5,6
ID_1CTF,1,,ID_FN3VCPDF,11:16:35.956084,1,5,6
ID_L3EB,1,,ID_W9YI22UU,07:05:10.282963,1,2,19
ID_UB7R,1,,ID_FQOHXJXZ,00:57:43.725874,1,4,20
ID_WOVD,1,,ID_FQOHXJXZ,00:58:29.010912,1,4,20
ID_2MIC,1,,ID_FQOHXJXZ,00:57:43.753220,1,4,20
ID_F7QD,1,,ID_FQOHXJXZ,00:56:29.589783,1,4,20
ID_UILN,1,,ID_NS94FXQX,17:38:14.739353,1,3,25
ID_1261,1,count 10,ID_0S9M9JL0,03:03:19.665873,1,4,23
ID_XOAY,1,,ID_0S9M9JL0,03:05:38.379165,1,4,23
ID_1ZWS,1,,ID_3GBB1E3D,05:22:21.200947,1,2,9
ID_53GM,1,,ID_3GBB1E3D,05:23:06.433767,1,2,9
ID_GAV9,1,,ID_3GBB1E3D,07:00:38.654494,1,2,19
ID_540G,1,,ID_3GBB1E3D,05:23:45.960584,1,2,9
ID_F7QD,1,,ID_3GBB1E3D,07:01:02.514239,1,2,19
ID_IQLI,1,,ID_ZZJKFBR5,16:41:46.634955,1,12,8
ID_GR92,1,,ID_S4YHK1H9,07:09:00.942824,1,2,20
ID_JRC2,1,,ID_S4YHK1H9,06:23:31.103104,1,2,20
ID_PB3Q,1,,ID_S4YHK1H9,04:25:07.186101,1,1,29
ID_8B8I,1,,ID_S4YHK1H9,06:28:55.218124,1,2,20
ID_WOVD,1,,ID_S4YHK1H9,11:50:40.263199,1,2,20
ID_AL6C,1,,ID_I2D5OYME,08:05:18.265952,1,11,4
ID_51ZG,1,,ID_RVHUZ9DP,08:39:57.864738,1,5,15
ID_CFN7,1,,ID_RVHUZ9DP,00:15:33.021526,1,5,17
ID_IVH9,1,,ID_RVHUZ9DP,23:20:32.289487,1,12,29
ID_OAR6,1,,ID_RVHUZ9DP,05:53:47.487047,1,4,1
ID_1CTF,1,,ID_RVHUZ9DP,10:42:44.431430,1,5,1
ID_GR92,1,,ID_RVHUZ9DP,23:16:54.637994,1,12,29
ID_F7QD,1,count 10,ID_RVHUZ9DP,23:31:18.292966,1,12,27
ID_2MIC,1,,ID_RVHUZ9DP,14:30:51.955422,1,2,21
ID_5KD8,1,,ID_RVHUZ9DP,00:14:01.537358,1,3,4
ID_528W,1,count 10,ID_RVHUZ9DP,09:39:57.036635,1,12,28
ID_0D02,1,,ID_RVHUZ9DP,14:30:51.929741,1,2,21
ID_0W7H,1,,ID_RVHUZ9DP,14:30:51.904278,1,2,21
ID_PDKH,1,,ID_RVHUZ9DP,14:34:32.773747,1,2,21
ID_V0FX,1,,ID_RVHUZ9DP,23:24:56.712983,1,3,18
ID_540G,1,,ID_RVHUZ9DP,23:26:34.982603,1,3,18
ID_L9R0,1,,ID_RVHUZ9DP,23:32:07.941891,1,3,18
ID_7CF2,1,,ID_RVHUZ9DP,00:34:18.789011,1,3,4
ID_NKJR,1,,ID_RVHUZ9DP,23:20:32.276772,1,12,29
ID_20XL,1,,ID_RVHUZ9DP,09:57:37.047209,1,2,27
ID_UB7R,1,,ID_RVHUZ9DP,14:30:51.946118,1,2,21
ID_JRC2,1,,ID_RVHUZ9DP,00:32:52.023323,1,3,4
ID_I9BN,1,,ID_RVHUZ9DP,21:24:21.061634,1,3,10
ID_BXIL,1,,ID_RVHUZ9DP,23:37:01.430844,1,3,18
ID_GAV9,1,,ID_RVHUZ9DP,14:26:38.893479,1,2,21
ID_YDM3,1,,ID_TFJHRW7Q,20:08:49.088269,1,3,4
ID_IQLI,1,,ID_TFJHRW7Q,00:10:31.236305,1,3,29
ID_20XL,1,,ID_TFJHRW7Q,16:04:52.057376,1,3,17
ID_JRC2,1,count 3,ID_TFJHRW7Q,20:22:01.391795,1,2,26
ID_KU2G,1,count 3,ID_TFJHRW7Q,22:58:17.203965,1,3,5
ID_WZ0H,1,,ID_TFJHRW7Q,21:10:12.353378,1,4,8
ID_MN35,1,,ID_OOST20VT,18:24:12.669754,1,11,30
ID_OAR6,1,,ID_FE2GPDGR,09:49:11.508136,1,3,24
