Competition ID,Personal,Theme,Disc_ID,User_ID,Created At time,Created At Year,Created At Month,Created At Day_of_month
GeneralDiscussion,1,,ID_0BK7TH,ID_AAGFVLHH,19:48:26.862175,1,12,27
GeneralDiscussion,1,,ID_ZFJ9J7,ID_0AJGQILU,09:37:52.039526,1,12,20
GeneralDiscussion,1,,ID_ME45XX,ID_U90KK6KL,17:50:33.894800,1,2,9
ID_45W9,1,,ID_2BG9IX,ID_U90KK6KL,07:57:55.178845,1,2,10
GeneralDiscussion,1,,ID_251XVV,ID_F7HIGFHQ,19:56:13.041893,1,12,27
ID_I9BN,0,,ID_I1N4XA,ID_QXI37KW6,18:20:26.568254,1,2,29
GeneralDiscussion,1,,ID_B3RVDQ,ID_QXI37KW6,00:30:29.783050,1,3,15
GeneralDiscussion,1,,ID_CIU523,ID_QXI37KW6,01:46:27.612805,1,3,15
GeneralDiscussion,1,,ID_84L6U3,ID_CEDNKSVV,05:40:35.086345,1,2,9
ID_56O8,0,3.0,ID_9OM3J1,ID_CEDNKSVV,23:08:28.053523,1,2,13
ID_56O8,1,,ID_1LSLW7,ID_CEDNKSVV,07:06:12.169921,1,2,18
ID_KU2G,1,,ID_5DIDRK,ID_CEDNKSVV,17:55:02.333957,1,3,29
ID_HCN1,0,1.0,ID_ONQEAR,ID_CEDNKSVV,22:36:22.543584,1,5,9
ID_64EM,0,1.0,ID_3XKIOF,ID_CEDNKSVV,13:23:28.763053,1,1,3
GeneralDiscussion,1,,ID_M89JSB,ID_CEDNKSVV,18:38:44.100793,1,2,8
GeneralDiscussion,1,,ID_WM200F,ID_CEDNKSVV,18:50:45.319101,1,5,21
GeneralDiscussion,1,,ID_76RQ0S,ID_CEDNKSVV,01:33:59.487090,1,2,16
GeneralDiscussion,1,,ID_4KH8OR,ID_CEDNKSVV,14:17:29.263011,1,3,29
GeneralDiscussion,1,,ID_E486XJ,ID_CEDNKSVV,17:54:31.265634,1,12,19
ID_GR92,0,4.0,ID_JFPPYO,ID_CEDNKSVV,01:50:18.523584,1,1,3
ID_GR92,0,4.0,ID_TV9UIV,ID_CEDNKSVV,00:12:04.209496,1,1,3
GeneralDiscussion,1,,ID_3Z6AZI,ID_CEDNKSVV,04:20:33.569274,1,2,9
GeneralDiscussion,1,,ID_1ZE594,ID_CEDNKSVV,04:23:11.949158,1,2,9
GeneralDiscussion,1,,ID_LLPKVB,ID_CEDNKSVV,22:24:44.320109,1,2,9
GeneralDiscussion,1,,ID_GSTC7F,ID_CEDNKSVV,14:43:26.173657,1,2,9
GeneralDiscussion,1,,ID_9C1E1T,ID_CEDNKSVV,15:29:16.391943,1,2,9
