FeatureX,FeatureY,User_ID,Countries_ID,Created At time,Created At Year,Created At Month,Created At Day_of_month
0,0,ID_DC6S4E9O,X9GR,19:33:13.663391,1,1,16
1,0,ID_E8S97OUT,X9GR,22:18:18.228921,1,12,27
0,0,ID_QZ1HASL3,X9GR,23:13:03.266635,1,1,1
1,0,ID_SDV9Q3E9,X9GR,09:50:09.697573,1,12,27
1,0,ID_W942LN7F,X9GR,13:33:06.531662,1,1,16
1,1,ID_XAXET461,X9GR,20:04:14.166376,1,2,28
1,0,ID_9LMT6576,X9GR,10:30:35.729775,1,2,1
1,0,ID_34L2RZ88,X9GR,11:28:36.819954,1,12,31
1,0,ID_3XU6DO19,X9GR,08:39:20.883002,1,1,25
0,0,ID_JTGYJ9VC,X9GR,15:11:10.421322,1,1,23
0,1,ID_MNUN0Q5A,X9GR,08:49:39.143322,1,12,26
0,0,ID_DP578TL8,X9GR,13:32:59.901385,1,12,6
0,0,ID_HPFBRJ9Z,X9GR,09:33:50.552418,1,12,27
0,0,ID_8P5WZ2T3,X9GR,19:06:11.520198,1,12,22
1,0,ID_T92N5NBN,X9GR,05:59:46.676094,1,1,9
0,0,ID_7TAHD093,X9GR,10:48:33.844243,1,1,3
0,0,ID_HBC38F13,X9GR,00:14:55.485576,1,12,8
0,0,ID_5V8MKZIX,X9GR,07:11:53.385879,1,11,2
0,0,ID_OJQBCCT2,X9GR,21:37:35.309529,1,2,26
0,0,ID_ISFHFK93,X9GR,11:35:08.946574,1,12,20
0,0,ID_D1PLPUGM,X9GR,11:32:43.606812,1,12,28
0,0,ID_0GJ8LKKP,X9GR,11:09:23.022465,1,12,27
0,0,ID_YJNDM3W1,X9GR,08:28:18.506436,1,12,28
0,0,ID_Y1VZP0WG,X9GR,10:49:24.372642,1,12,28
0,0,ID_XABPFUPQ,X9GR,21:17:20.354238,1,1,9
0,0,ID_RGQ5CMRT,X9GR,10:40:53.787909,1,3,4
1,0,ID_C0QUD2KC,X9GR,18:39:51.117652,1,11,29
0,1,ID_MVWRQYKA,X9GR,22:36:23.851957,1,12,3
0,1,ID_YTDBW07G,X9GR,11:14:57.742206,1,11,29
0,0,ID_4SI233TQ,X9GR,00:40:13.366685,1,3,2
0,1,ID_5RENLVCS,X9GR,09:52:14.952595,1,12,28
1,0,ID_K5CNBB1X,X9GR,10:03:28.356433,1,12,27
0,0,ID_FMFOQFCQ,X9GR,19:54:58.176315,1,1,6
1,1,ID_DMD15MNS,X9GR,13:36:45.047953,1,1,4
0,0,ID_L9CNOJ1K,X9GR,10:14:49.619687,1,11,29
